Date Saved,12.12.2025 12:29:51
Spectral Data 440[nm],0.001326066558
Spectral Data 441[nm],0.001345079276
Spectral Data 442[nm],0.001363867777
Spectral Data 443[nm],0.001382286893
Spectral Data 444[nm],0.001400207984
Spectral Data 445[nm],0.001417501946
Spectral Data 446[nm],0.001434034319
Spectral Data 447[nm],0.001449597650
Spectral Data 448[nm],0.001463932800
Spectral Data 449[nm],0.001476779231
Spectral Data 450[nm],0.001487878850
Spectral Data 451[nm],0.001496998477
Spectral Data 452[nm],0.001503936131
Spectral Data 453[nm],0.001508494723
Spectral Data 454[nm],0.001510478323
Spectral Data 455[nm],0.001509973546
Spectral Data 456[nm],0.001507850364
Spectral Data 457[nm],0.001505118445
Spectral Data 458[nm],0.001502787112
Spectral Data 459[nm],0.001501701656
Spectral Data 460[nm],0.001501725172
Spectral Data 461[nm],0.001502361731
Spectral Data 462[nm],0.001503114705
Spectral Data 463[nm],0.001503507257
Spectral Data 464[nm],0.001503350679
Spectral Data 465[nm],0.001502672210
Spectral Data 466[nm],0.001501503983
Spectral Data 467[nm],0.001499876729
Spectral Data 468[nm],0.001497701160
Spectral Data 469[nm],0.001494713244
Spectral Data 470[nm],0.001490636729
Spectral Data 471[nm],0.001485195942
Spectral Data 472[nm],0.001478302293
Spectral Data 473[nm],0.001470417599
Spectral Data 474[nm],0.001462107641
Spectral Data 475[nm],0.001453937613
Spectral Data 476[nm],0.001446373877
Spectral Data 477[nm],0.001439254265
Spectral Data 478[nm],0.001432173070
Spectral Data 479[nm],0.001424723770
Spectral Data 480[nm],0.001416531042
Spectral Data 481[nm],0.001407706062
Spectral Data 482[nm],0.001398734050
Spectral Data 483[nm],0.001390108839
Spectral Data 484[nm],0.001382321003
Spectral Data 485[nm],0.001375651686
Spectral Data 486[nm],0.001370060840
Spectral Data 487[nm],0.001365483040
Spectral Data 488[nm],0.001361852512
Spectral Data 489[nm],0.001359009068
Spectral Data 490[nm],0.001356493798
Spectral Data 491[nm],0.001353793545
Spectral Data 492[nm],0.001350395149
Spectral Data 493[nm],0.001345831668
Spectral Data 494[nm],0.001339959912
Spectral Data 495[nm],0.001332768472
Spectral Data 496[nm],0.001324245357
Spectral Data 497[nm],0.001314389054
Spectral Data 498[nm],0.001303361962
Spectral Data 499[nm],0.001291458844
Spectral Data 500[nm],0.001278978772
Spectral Data 501[nm],0.001266221632
Spectral Data 502[nm],0.001253503840
Spectral Data 503[nm],0.001241165679
Spectral Data 504[nm],0.001229551504
Spectral Data 505[nm],0.001219005440
Spectral Data 506[nm],0.001209724927
Spectral Data 507[nm],0.001201429754
Spectral Data 508[nm],0.001193743199
Spectral Data 509[nm],0.001186288893
Spectral Data 510[nm],0.001178721664
Spectral Data 511[nm],0.001170911361
Spectral Data 512[nm],0.001162819448
Spectral Data 513[nm],0.001154407859
Spectral Data 514[nm],0.001145642251
Spectral Data 515[nm],0.001136552077
Spectral Data 516[nm],0.001127221156
Spectral Data 517[nm],0.001117735519
Spectral Data 518[nm],0.001108180382
Spectral Data 519[nm],0.001098627108
Spectral Data 520[nm],0.001089123427
Spectral Data 521[nm],0.001079714857
Spectral Data 522[nm],0.001070446800
Spectral Data 523[nm],0.001061327872
Spectral Data 524[nm],0.001052243519
Spectral Data 525[nm],0.001043051481
Spectral Data 526[nm],0.001033609500
Spectral Data 527[nm],0.001023812685
Spectral Data 528[nm],0.001013841131
Spectral Data 529[nm],0.001004001591
Spectral Data 530[nm],0.000994600938
Spectral Data 531[nm],0.000985933584
Spectral Data 532[nm],0.000978045282
Spectral Data 533[nm],0.000970758847
Spectral Data 534[nm],0.000963889004
Spectral Data 535[nm],0.000957251235
Spectral Data 536[nm],0.000950737041
Spectral Data 537[nm],0.000944370811
Spectral Data 538[nm],0.000938189856
Spectral Data 539[nm],0.000932231604
Spectral Data 540[nm],0.000926494948
Spectral Data 541[nm],0.000920842926
Spectral Data 542[nm],0.000915106211
Spectral Data 543[nm],0.000909115653
Spectral Data 544[nm],0.000902725325
Spectral Data 545[nm],0.000895974808
Spectral Data 546[nm],0.000888991519
Spectral Data 547[nm],0.000881903165
Spectral Data 548[nm],0.000874831981
Spectral Data 549[nm],0.000867739844
Spectral Data 550[nm],0.000860436528
Spectral Data 551[nm],0.000852727913
Spectral Data 552[nm],0.000844420283
Spectral Data 553[nm],0.000835411949
Spectral Data 554[nm],0.000825789932
Spectral Data 555[nm],0.000815664360
Spectral Data 556[nm],0.000805145362
Spectral Data 557[nm],0.000794325257
Spectral Data 558[nm],0.000783214287
Spectral Data 559[nm],0.000771797670
Spectral Data 560[nm],0.000760060269
Spectral Data 561[nm],0.000747993472
Spectral Data 562[nm],0.000735665439
Spectral Data 563[nm],0.000723194680
Spectral Data 564[nm],0.000710700639
Spectral Data 565[nm],0.000698303455
Spectral Data 566[nm],0.000686163665
Spectral Data 567[nm],0.000674498326
Spectral Data 568[nm],0.000663528917
Spectral Data 569[nm],0.000653477036
Spectral Data 570[nm],0.000644546293
Spectral Data 571[nm],0.000636872486
Spectral Data 572[nm],0.000630581577
Spectral Data 573[nm],0.000625799468
Spectral Data 574[nm],0.000622632913
Spectral Data 575[nm],0.000621062820
Spectral Data 576[nm],0.000621011714
Spectral Data 577[nm],0.000622401247
Spectral Data 578[nm],0.000625147135
Spectral Data 579[nm],0.000629037735
Spectral Data 580[nm],0.000633737247
Spectral Data 581[nm],0.000638904457
Spectral Data 582[nm],0.000644199026
Spectral Data 583[nm],0.000649304478
Spectral Data 584[nm],0.000653949741
Spectral Data 585[nm],0.000657871249
Spectral Data 586[nm],0.000660805439
Spectral Data 587[nm],0.000662525883
Spectral Data 588[nm],0.000663007901
Spectral Data 589[nm],0.000662282167
Spectral Data 590[nm],0.000660378893
Spectral Data 591[nm],0.000657340512
Spectral Data 592[nm],0.000653348397
