Date Saved,2/25/2026 11:15:18 AM
Spectral Data 440[nm],0.698174893856
Spectral Data 441[nm],0.709085464478
Spectral Data 442[nm],0.719888508320
Spectral Data 443[nm],0.730516552925
Spectral Data 444[nm],0.740917146206
Spectral Data 445[nm],0.751037776470
Spectral Data 446[nm],0.760823190212
Spectral Data 447[nm],0.770180702209
Spectral Data 448[nm],0.778991103172
Spectral Data 449[nm],0.787134587765
Spectral Data 450[nm],0.794492542744
Spectral Data 451[nm],0.800960421562
Spectral Data 452[nm],0.806452035904
Spectral Data 453[nm],0.810883760452
Spectral Data 454[nm],0.814172387123
Spectral Data 455[nm],0.816359460354
Spectral Data 456[nm],0.817832946777
Spectral Data 457[nm],0.819042325020
Spectral Data 458[nm],0.820437192917
Spectral Data 459[nm],0.822386562824
Spectral Data 460[nm],0.824776947498
Spectral Data 461[nm],0.827318668365
Spectral Data 462[nm],0.829721748829
Spectral Data 463[nm],0.831711292267
Spectral Data 464[nm],0.833227694035
Spectral Data 465[nm],0.834372997284
Spectral Data 466[nm],0.835253059864
Spectral Data 467[nm],0.835972726345
Spectral Data 468[nm],0.836582899094
Spectral Data 469[nm],0.837056279182
Spectral Data 470[nm],0.837359547615
Spectral Data 471[nm],0.837459683418
Spectral Data 472[nm],0.837367475033
Spectral Data 473[nm],0.837221324444
Spectral Data 474[nm],0.837184071541
Spectral Data 475[nm],0.837418675423
Spectral Data 476[nm],0.838032901287
Spectral Data 477[nm],0.838787615299
Spectral Data 478[nm],0.839308619499
Spectral Data 479[nm],0.839221417904
Spectral Data 480[nm],0.838176190853
Spectral Data 481[nm],0.836196780205
Spectral Data 482[nm],0.833594679832
Spectral Data 483[nm],0.830688476563
Spectral Data 484[nm],0.827796220779
Spectral Data 485[nm],0.825170934200
Spectral Data 486[nm],0.822965621948
Spectral Data 487[nm],0.821325898170
Spectral Data 488[nm],0.820397317410
Spectral Data 489[nm],0.820246160030
Spectral Data 490[nm],0.820695638657
Spectral Data 491[nm],0.821522772312
Spectral Data 492[nm],0.822504639626
Spectral Data 493[nm],0.823434770107
Spectral Data 494[nm],0.824221909046
Spectral Data 495[nm],0.824821770191
Spectral Data 496[nm],0.825189888477
Spectral Data 497[nm],0.825285077095
Spectral Data 498[nm],0.825114428997
Spectral Data 499[nm],0.824724435806
Spectral Data 500[nm],0.824162840843
Spectral Data 501[nm],0.823477208614
Spectral Data 502[nm],0.822706758976
Spectral Data 503[nm],0.821877479553
Spectral Data 504[nm],0.821013987064
Spectral Data 505[nm],0.820141077042
Spectral Data 506[nm],0.819248616695
Spectral Data 507[nm],0.818213582039
Spectral Data 508[nm],0.816889882088
Spectral Data 509[nm],0.815131664276
Spectral Data 510[nm],0.812820971012
Spectral Data 511[nm],0.810036003590
Spectral Data 512[nm],0.806937754154
Spectral Data 513[nm],0.803687572479
Spectral Data 514[nm],0.800447463989
Spectral Data 515[nm],0.797379076481
Spectral Data 516[nm],0.794643938541
Spectral Data 517[nm],0.792404234409
Spectral Data 518[nm],0.790820658207
Spectral Data 519[nm],0.789977967739
Spectral Data 520[nm],0.789836227894
Spectral Data 521[nm],0.790343165398
Spectral Data 522[nm],0.791446447372
Spectral Data 523[nm],0.793064236641
Spectral Data 524[nm],0.795015335083
Spectral Data 525[nm],0.797096550465
Spectral Data 526[nm],0.799104630947
Spectral Data 527[nm],0.800863921642
Spectral Data 528[nm],0.802404880524
Spectral Data 529[nm],0.803850173950
Spectral Data 530[nm],0.805322706699
Spectral Data 531[nm],0.806936800480
Spectral Data 532[nm],0.808650434017
Spectral Data 533[nm],0.810280978680
Spectral Data 534[nm],0.811640143394
Spectral Data 535[nm],0.812541007996
Spectral Data 536[nm],0.812901020050
Spectral Data 537[nm],0.812819540501
Spectral Data 538[nm],0.812414109707
Spectral Data 539[nm],0.811802446842
Spectral Data 540[nm],0.811075091362
Spectral Data 541[nm],0.810225725174
Spectral Data 542[nm],0.809225261211
Spectral Data 543[nm],0.808044731617
Spectral Data 544[nm],0.806668877602
Spectral Data 545[nm],0.805196881294
Spectral Data 546[nm],0.803781270981
Spectral Data 547[nm],0.802574872971
Spectral Data 548[nm],0.801722764969
Spectral Data 549[nm],0.801177322865
Spectral Data 550[nm],0.800707936287
Spectral Data 551[nm],0.800078272820
Spectral Data 552[nm],0.799052834511
Spectral Data 553[nm],0.797510504723
Spectral Data 554[nm],0.795564770699
Spectral Data 555[nm],0.793358027935
Spectral Data 556[nm],0.791032791138
Spectral Data 557[nm],0.788711071014
Spectral Data 558[nm],0.786418199539
Spectral Data 559[nm],0.784150183201
Spectral Data 560[nm],0.781903207302
Spectral Data 561[nm],0.779673337936
Spectral Data 562[nm],0.777454555035
Spectral Data 563[nm],0.775239646435
Spectral Data 564[nm],0.773021280766
Spectral Data 565[nm],0.770792603493
Spectral Data 566[nm],0.768563985825
Spectral Data 567[nm],0.766370415688
Spectral Data 568[nm],0.764248490334
Spectral Data 569[nm],0.762235045433
Spectral Data 570[nm],0.760377466679
Spectral Data 571[nm],0.758753538132
Spectral Data 572[nm],0.757448017597
Spectral Data 573[nm],0.756545543671
Spectral Data 574[nm],0.756113290787
Spectral Data 575[nm],0.756088137627
Spectral Data 576[nm],0.756348729134
Spectral Data 577[nm],0.756773352623
Spectral Data 578[nm],0.757240593433
Spectral Data 579[nm],0.757644176483
Spectral Data 580[nm],0.757892608643
Spectral Data 581[nm],0.757894396782
Spectral Data 582[nm],0.757558763027
Spectral Data 583[nm],0.756846606731
Spectral Data 584[nm],0.755825757980
Spectral Data 585[nm],0.754577100277
Spectral Data 586[nm],0.753181517124
Spectral Data 587[nm],0.751717925072
Spectral Data 588[nm],0.750252187252
Spectral Data 589[nm],0.748846828938
Spectral Data 590[nm],0.747564673424
Spectral Data 591[nm],0.746463358402
Spectral Data 592[nm],0.745544135571
Spectral Data 593[nm],0.744772017002
Spectral Data 594[nm],0.744111299515
Spectral Data 595[nm],0.743526458740
Spectral Data 596[nm],0.742984175682
Spectral Data 597[nm],0.742453873158
Spectral Data 598[nm],0.741905272007
Spectral Data 599[nm],0.741308033466
Spectral Data 600[nm],0.740641176701
Spectral Data 601[nm],0.739908814430
Spectral Data 602[nm],0.739119529724
Spectral Data 603[nm],0.738281846046
Spectral Data 604[nm],0.737401127815
Spectral Data 605[nm],0.736464679241
Spectral Data 606[nm],0.735452651978
Spectral Data 607[nm],0.734345257282
Spectral Data 608[nm],0.733124911785
Spectral Data 609[nm],0.731807410717
Spectral Data 610[nm],0.730434775352
Spectral Data 611[nm],0.729049980640
Spectral Data 612[nm],0.727695524693
Spectral Data 613[nm],0.726391851902
Spectral Data 614[nm],0.725124776363
Spectral Data 615[nm],0.723877012730
Spectral Data 616[nm],0.722631454468
Spectral Data 617[nm],0.721367657185
Spectral Data 618[nm],0.720054566860
Spectral Data 619[nm],0.718658924103
Spectral Data 620[nm],0.717147409916
Spectral Data 621[nm],0.715495049953
Spectral Data 622[nm],0.713739573956
Spectral Data 623[nm],0.711947798729
Spectral Data 624[nm],0.710186779499
Spectral Data 625[nm],0.708523571491
Spectral Data 626[nm],0.707029938698
Spectral Data 627[nm],0.705781936646
Spectral Data 628[nm],0.704855740070
Spectral Data 629[nm],0.704327464104
Spectral Data 630[nm],0.704238057137
Spectral Data 631[nm],0.704559385777
Spectral Data 632[nm],0.705255985260
Spectral Data 633[nm],0.706292271614
Spectral Data 634[nm],0.707606375217
Spectral Data 635[nm],0.709066927433
Spectral Data 636[nm],0.710515260696
Spectral Data 637[nm],0.711792528629
Spectral Data 638[nm],0.712755620480
Spectral Data 639[nm],0.713363826275
Spectral Data 640[nm],0.713617384434
Spectral Data 641[nm],0.713516592979
Spectral Data 642[nm],0.713059842587
Spectral Data 643[nm],0.712223231792
Spectral Data 644[nm],0.710969507694
Spectral Data 645[nm],0.709261357784
Spectral Data 646[nm],0.707069098949
Spectral Data 647[nm],0.704504549503
Spectral Data 648[nm],0.701806843281
Spectral Data 649[nm],0.699220240116
Spectral Data 650[nm],0.696985721588
Spectral Data 651[nm],0.695233047009
Spectral Data 652[nm],0.693947553635
Spectral Data 653[nm],0.693104684353
Spectral Data 654[nm],0.692679822445
Spectral Data 655[nm],0.692660629749
Spectral Data 656[nm],0.693058133125
Spectral Data 657[nm],0.693886041641
Spectral Data 658[nm],0.695158243179
Spectral Data 659[nm],0.696845710278
Spectral Data 660[nm],0.698792576790
Spectral Data 661[nm],0.700819611549
Spectral Data 662[nm],0.702747404575
Spectral Data 663[nm],0.704425036907
Spectral Data 664[nm],0.705833196640
Spectral Data 665[nm],0.706990838051
Spectral Data 666[nm],0.707916975021
Spectral Data 667[nm],0.708633601665
Spectral Data 668[nm],0.709188222885
Spectral Data 669[nm],0.709639370441
Spectral Data 670[nm],0.710045516491
Spectral Data 671[nm],0.710457682610
Spectral Data 672[nm],0.710768580437
Spectral Data 673[nm],0.710751056671
Spectral Data 674[nm],0.710176765919
Spectral Data 675[nm],0.708818852901
Spectral Data 676[nm],0.706521272659
Spectral Data 677[nm],0.703227460384
Spectral Data 678[nm],0.698888242245
Spectral Data 679[nm],0.693454802036
Spectral Data 680[nm],0.686967313290
Spectral Data 681[nm],0.679702281952
Spectral Data 682[nm],0.671974599361
Spectral Data 683[nm],0.664099276066
Spectral Data 684[nm],0.656405746937
Spectral Data 685[nm],0.649299204350
Spectral Data 686[nm],0.643209755421
Spectral Data 687[nm],0.638567447662
Spectral Data 688[nm],0.635763704777
Spectral Data 689[nm],0.634762644768
Spectral Data 690[nm],0.635262191296
Spectral Data 691[nm],0.636956393719
Spectral Data 692[nm],0.639539361000
Spectral Data 693[nm],0.642711699009
Spectral Data 694[nm],0.646181166172
Spectral Data 695[nm],0.649656057358
Spectral Data 696[nm],0.652845203876
Spectral Data 697[nm],0.655565440655
Spectral Data 698[nm],0.657861530781
Spectral Data 699[nm],0.659807145596
Spectral Data 700[nm],0.661475896835
Spectral Data 701[nm],0.662919104099
Spectral Data 702[nm],0.664095938206
Spectral Data 703[nm],0.664941787720
Spectral Data 704[nm],0.665392160416
